rStart,rEnd,status,mem,rLat,rId,eStart,eEnd,eLat,cId,cStart,vmId,primeNumber,result,osType,nodeVersion,pName,vName,cName,version
1619961882022.3857,1619961883607.28,200,512,1.5848941802978516,gcf_16x16x16_0,1619961883426,1619961883548,122,1F4MPLQ47,1619961883275,1G8TA0R,913753,True,linux,v14.16.1,GCF,1G8TA0R,1F4MPLQ47,38
1619961882023.7043,1619961883853.7302,200,512,1.8300259113311768,gcf_16x16x16_0,1619961883685,1619961883810,125,1F4MT1J2D,1619961883625,1G8TA0R,1045621,True,linux,v14.16.1,GCF,1G8TA0R,1F4MT1J2D,38
1619961882025.098,1619961882722.4387,200,512,0.6973409652709961,gcf_16x16x16_0,1619961882262,1619961882680,418,1F4MKEINI,1619961873315,1G8TA0H,1045727,True,linux,v14.16.1,GCF,1G8TA0H,1F4MKEINI,38
1619961882723.8618,1619961883233.4006,200,512,0.5095388889312744,gcf_16x16x16_0,1619961882863,1619961883195,332,1F4MKEINI,1619961873315,1G8TA0H,1046119,True,linux,v14.16.1,GCF,1G8TA0H,1F4MKEINI,38
1619961883235.346,1619961883417.417,200,512,0.18207120895385742,gcf_16x16x16_0,1619961883375,1619961883385,10,1F4MKEINI,1619961873315,1G8TA0H,21365,False,linux,v14.16.1,GCF,1G8TA0H,1F4MKEINI,38
1619961883418.779,1619961883612.6008,200,512,0.19382166862487793,gcf_16x16x16_0,1619961883559,1619961883561,2,1F4MKEINI,1619961873315,1G8TA0H,21823,False,linux,v14.16.1,GCF,1G8TA0H,1F4MKEINI,38
1619961883521.398,1619961883704.3718,200,512,0.18297410011291504,gcf_16x16x16_0,1619961883669,1619961883672,3,1F4MKEINI,1619961873315,1G8TA0H,21749,False,linux,v14.16.1,GCF,1G8TA0H,1F4MKEINI,38
1619961883608.0532,1619961883765.974,200,512,0.15792083740234375,gcf_16x16x16_0,1619961883736,1619961883736,0,1F4MKEINI,1619961873315,1G8TA0H,213,False,linux,v14.16.1,GCF,1G8TA0H,1F4MKEINI,38
1619961883613.4417,1619961883774.1682,200,512,0.16072654724121094,gcf_16x16x16_0,1619961883745,1619961883745,0,1F4MPLQ47,1619961883275,1G8TA0R,823,True,linux,v14.16.1,GCF,1G8TA0R,1F4MPLQ47,38
1619961883705.5657,1619961883876.306,200,512,0.17074012756347656,gcf_16x16x16_0,1619961883846,1619961883846,0,1F4MKEINI,1619961873315,1G8TA0H,749,False,linux,v14.16.1,GCF,1G8TA0H,1F4MKEINI,38
