mem,cStart,eLat,bLat,eCost
2112,0,743.1,744,0.0000259796
2144,0,505.47,506,0.0000179986
2144,0,602.27,603,0.0000214105
2144,0,602.99,603,0.0000214105
2144,0,648.6,649,0.0000230286
2144,0,540.07,541,0.0000192297
2176,0,694.84,695,0.0000250115
2176,0,626.68,627,0.0000225839
2176,0,531.58,532,0.0000191924
2176,0,620.24,621,0.0000223697
2176,0,398.76,399,0.0000144443
2208,0,710.29,711,0.0000259560
2208,0,591.15,592,0.0000216452
2208,0,645.79,646,0.0000236014
2208,0,482.24,483,0.0000176967
2208,0,694.07,695,0.0000253764
2240,0,654.14,655,0.0000242713
2240,0,491.81,492,0.0000182810
2240,0,611.87,612,0.0000226910
2240,0,624.13,625,0.0000231688
2240,0,450.15,451,0.0000167743
2272,0,508.78,509,0.0000191730
2272,0,532.47,533,0.0000200676
2272,0,721.79,722,0.0000271126
2272,0,645.91,646,0.0000242797
2272,0,431.28,432,0.0000163028
2304,0,638.86,639,0.0000243542
2304,0,658.8,659,0.0000251102
2304,0,692.67,693,0.0000263954
2304,0,702.58,703,0.0000267734
2304,0,682.89,683,0.0000260174
2336,0,575.03,576,0.0000222752
2336,0,531.89,532,0.0000205889
2336,0,669.92,670,0.0000258778
2336,0,677.89,678,0.0000261844
2336,0,699.41,700,0.0000270275
2368,0,642.15,643,0.0000251806
2368,0,738.32,739,0.0000289102
2368,0,615.57,616,0.0000241316
2368,0,608.97,609,0.0000238597
2368,0,527.97,528,0.0000207128
2400,0,547.8,548,0.0000217775
2400,0,420.63,421,0.0000167769
2400,0,517.21,518,0.0000205963
2400,0,680.86,681,0.0000270144
2400,0,664.79,665,0.0000263844
2432,0,451.36,452,0.0000182348
2432,0,641.7,642,0.0000258158
2432,0,523.49,524,0.0000211076
2432,0,622.81,623,0.0000250577
2432,0,602.17,603,0.0000242597
2464,0,572.93,573,0.0000233635
2464,0,733.94,734,0.0000298720
2464,0,446.02,447,0.0000182700
2464,0,599.39,600,0.0000244550
2464,0,493.06,494,0.0000201700
2496,0,676.84,677,0.0000279232
2496,0,518.57,519,0.0000214531
2496,0,516.37,517,0.0000213712
2496,0,585.34,586,0.0000241967
2496,0,570.12,571,0.0000235825
2528,0,547.56,548,0.0000229283
2528,0,490.31,491,0.0000205642
2528,0,596.18,597,0.0000249606
2528,0,546.18,547,0.0000228868
2528,0,525.2,526,0.0000220159
2560,0,524.96,525,0.0000222500
2560,0,477.97,478,0.0000202760
2560,0,455.85,456,0.0000193520
2560,0,490.22,491,0.0000208220
2560,0,571.44,572,0.0000242240
2592,0,694.35,695,0.0000297549
2592,0,438.65,439,0.0000188685
2592,0,627.28,628,0.0000269057
2592,0,590.0,591,0.0000253323
2592,0,478.55,479,0.0000205695
2624,0,636.79,637,0.0000276229
2624,0,628.52,629,0.0000272785
2624,0,595.3,596,0.0000258578
2624,0,499.54,500,0.0000217250
2624,0,524.15,525,0.0000228013
2656,0,732.67,733,0.0000321405
2656,0,501.94,502,0.0000220747
2656,0,519.21,520,0.0000228590
2656,0,538.94,539,0.0000236869
2656,0,589.03,590,0.0000259093
2688,0,524.58,525,0.0000233525
2688,0,550.49,551,0.0000244991
2688,0,571.03,572,0.0000254252
2688,0,500.1,501,0.0000222941
2688,0,467.8,468,0.0000208388
2720,0,732.21,733,0.0000329101
2720,0,613.22,614,0.0000275998
2720,0,600.89,601,0.0000270196
2720,0,619.87,620,0.0000278675
2720,0,563.14,564,0.0000253685
2752,0,508.53,509,0.0000231814
2752,0,630.04,631,0.0000286897
2752,0,620.63,621,0.0000282382
2752,0,451.69,452,0.0000206078
2752,0,585.92,586,0.0000266579
2784,0,625.55,626,0.0000287926
2784,0,534.51,535,0.0000246361
2784,0,563.98,564,0.0000259607
2784,0,467.89,468,0.0000215759
2784,0,595.23,596,0.0000274223
2816,0,534.69,535,0.0000249170
2816,0,563.37,564,0.0000262568
2816,0,532.85,533,0.0000248246
2816,0,576.13,577,0.0000268574
2816,0,466.76,467,0.0000217754
2848,0,711.01,712,0.0000334682
2848,0,650.67,651,0.0000306180
2848,0,489.41,490,0.0000230953
2848,0,463.62,464,0.0000218804
2848,0,598.88,599,0.0000281883
2880,0,618.91,619,0.0000294478
2880,0,476.19,477,0.0000227383
2880,0,714.4,715,0.0000339838
2880,0,508.11,509,0.0000242503
2880,0,408.24,409,0.0000195253
2912,0,582.86,583,0.0000280528
2912,0,601.23,602,0.0000289606
2912,0,560.37,561,0.0000270018
2912,0,582.24,583,0.0000280528
2912,0,539.64,540,0.0000259985
2944,0,468.15,469,0.0000228527
2944,0,579.27,580,0.0000282140
2944,0,493.43,494,0.0000240602
2944,0,487.94,488,0.0000237704
2944,0,665.07,666,0.0000323678
2976,0,723.35,724,0.0000355493
2976,0,579.88,580,0.0000285185
2976,0,555.65,556,0.0000273467
2976,0,540.54,541,0.0000266143
2976,0,541.4,542,0.0000266632
3008,0,530.78,531,0.0000264049
3008,0,561.43,562,0.0000279347
3008,0,533.32,534,0.0000265529
3008,0,484.24,485,0.0000241348
3008,0,526.51,527,0.0000262075
